a bit	một chút, một tí
define	định nghĩa
definite	xác định, định rõ, rõ ràng
definitely	rạch ròi, dứt khoát
definition	sự định nghĩa, lời định nghĩa
degree	mức độ, trình độ; bằng cấp; độ
delay	sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
deliberately	thận trọng, có suy nghĩ cân nhắc
delicate	thanh nhã, thanh tú, tế nhị, khó xử
delight	sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say
delighted	vui mừng, hài lòng
deliver	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu
demand	sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate	chứng minh, giải thích; bày tỏ, biểu lộ
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
department	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure	sự rời khỏi, sự đi, sự khởi hành
depend	phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit	vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress	làm chán nản, làm phiền muộn; làm suy giảm
depressed	chán nản, thất vọng, phiền muộn; suy yếu, đình trệ
depressing	làm chán nản làm thát vọng, làm trì trệ
depth	chiều sâu, độ dày
derive	nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ
describe	diễn tả, miêu tả, mô tả
description	sự mô tả, sự tả, sự miêu tả
desert	sa mạc; công lao, giá trị; rời bỏ, bỏ trốn
deserted	hoang vắng, không người ở
deserve	đáng, xứng đáng
design	sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế
desire	ước muốn; thèm muốn, ao ước
desk	bàn
desperate	liều mạng, liều lĩnh; tuyệt vọng
desperately	liều lĩnh, liều mạng
despite	dù, mặc dù, bất chấp
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	chi tiết
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determine	xác định, định rõ; quyết định
determined	đã được xác định, đã được xác định rõ
develop	phát triển, mở rộng; trình bày, bày tỏ
development	sự phát triển, sự trình bày, sự bày tỏ
device	kế sách; thiết bị, dụng cụ, máy móc
devote	hiến dâng, dành hết cho
devoted	hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình
diagram	biểu đồ
diamond	kim cương
diary	sổ nhật ký; lịch ghi nhớ
dictionary	từ điển
die	chết, từ trần, hy sinh
diet	chế độ ăn uống, chế độ ăn kiêng
difference	sự khác nhau
different	khác, khác biệt, khác nhau
differently	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
dinner	bữa trưa, chiều
direct	trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển
direction	sự điều khiển, sự chỉ huy
directly	trực tiếp, thẳng
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disabled	bất lực, không có khă năng
disadvantage	sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất
disappointed	thất vọng
disappointing	làm chán ngán, làm thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc	đĩa
discipline	kỷ luật
discount	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover	khám phá, phát hiện ra, nhận ra
discovery	sự khám phá, sự tìm ra, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusted	chán ghét, phẫn nộ
disgusting	làm ghê tởm, kinh tởm
dish	đĩa
dishonest	bất lương, không thành thật
dishonestly	bất lương, không lương thiện
disk	đĩa, đĩa hát
dislike	sự không ưa, không thích, sự ghét
dismiss	giải tán
display	bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
distribute	phân bổ, phân phối, sắp xếp, phân loại
distribution	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
district	huyện, quận
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing	xáo trộn
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorce	đã ly dị
do	làm
doctor	bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
dog	chó
dollar	đô la mỹ
domestic	vật nuôi trong nhà,  nội trợ, quốc nội
dominate	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door	cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	xuống
downstairs	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downward	xuống, đi xuống
downwards	xuống, đi xuống
dozen	tá
draft	bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag	lôi kéo, kéo lê
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
dramatically	đột ngột
draw	vẽ, kéo
drawer	người vẽ, người kéo
drawing	bản vẽ, bức vẽ, sự kéo
dream	giấc mơ, mơ
dress	quần áo, mặc , ăn mặc
drink	đồ uống; uống
drive	lái , đua xe; cuộc đua xe
driver	người lái xe
driving	sự lái xe, cuộc đua xe
drop	chảy nhỏ giọt, rơi, rớt; giọt
drug	thuốc, dược phẩm; ma túy
drugstore	hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drunk	say rượu
dry	khô, cạn; làm khô, sấy khô
due	đến kỳ hạn ; xứng đáng, thích đáng
due to	vì, do, tại, nhờ có
dull	chậm hiểu, ngu đần
dump	đổ rác; đống rác, nơi đổ rác
during	trong lúc, trong thời gian
dust	bụi, rác; rắc , quét bụi, phủi bụi
duty	sự tôn kính, kính trọng; bồn phận, trách nhiệm
dying	sự chết
each	mỗi
each other	nhau, lẫn nhau
ear	tai
early	sớm
earn	kiếm
earth	đất, trái đất
ease	sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
easily	dễ dàng
east	hướng đông, phía đông,  đông, ở phía đông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
eat	ăn
economic	kinh tế
economy	sự tiết kiệm, sự quản lý kinh tế
edge	lưỡi, cạnh sắc
edition	nhà xuất bản, sự xuất bản
editor	người thu thập và xuất bản, chủ bút
educate	giáo dục, cho ăn học; rèn luyện
educated	được giáo dục, được đào tạo
education	sự giáo dục, sự rèn luyện
effect	hiệu ứng, hiệu quả, kết quả
effective	có kết quả, có hiệu lực
effectively	có kết quả, có hiệu lực
efficient	có hiệu lực, có hiệu quả
efficiently	có hiệu quả, hiệu nghiệm
effort	sự cố gắng, sự nỗ lực
either	mỗi, một; cũng phải thế
elbow	khuỷu tay
elderly	có tuổi, cao tuổi
elect	bầu, quyết định
election	sự bầu cử, cuộc tuyển cử
electric	điện, có điện, phát điện
electrical	điện
electricity	điện, điện lực; điện lực học
electronic	điện tử
elegant	thanh lịch, tao nhã
element	yếu tôd, nguyên tố
else	khác, nữa; nếu không
elsewhere	ở một nơi nào khác
email	thư điện tử; gửi thư điện tử
embarrass	lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassed	lúng túng, bối rối, ngượng; mang nợ
embarrassing	làm lúng túng, ngăn trở
embarrassment	sự lúng túng, sự bối rối
emerge	nổi lên, hiện ra; nổi bật lên
emergency	tình trạng khẩn cấp
emotion	xự xúc động, sự cảm động, mối xác cảm
emotional	cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionally	xúc động
emphasis	sự nhấn mạnh, tầm quan trọng
emphasize	nhấn mạnh, làm nổi bật
empire	đế chế, đế quốc
employ	dùng, thuê ai làm gì
employee	người lao động, người làm công
employer	chủ, người sử dụng lao động
employment	sự thuê mướn
empty	trống, rỗng; đổ, dốc; uống, làm cạn
enable	làm cho có thể, có khả năng; cho phép ai làm gì
encounter	chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage	động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement	niềm cổ vũ, động viên, khuyến khích, sự làm can đảm
end	giới hạn, sự kết thúc; kết thúc, chấm dứt
ending	sự kết thúc, sự chấm dứt; phần cuối, kết cục
enemy	kẻ thù, quân địch
energy	năng lượng, nghị lực, sinh lực
engage	hứa hẹn, cam kết, đính ước
engaged	đã đính ước, đã hứa hôn; đã có người
engine	máy, động cơ
engineer	kỹ sư
engineering	nghề kỹ sư, công việc của kỹ sư
enjoy	thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable	thú vị, thích thú
enjoyment	sự thích thú, sự có được, được hưởng
enormous	to lớn, khổng lồ
enough	đủ
enquiry	sự điều tra, sự thẩm vấn
ensure	bảo đảm, chắc chắn
enter	đi vào, gia nhập
entertain	giải trí, tiếp đón, chiêu đãi
entertainer	người quản trò, người tiếp đãi, chiêu đãi
entertaining	giải trí
entertainment	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm	sự hăng hái, sự nhiệt tình
enthusiastic	hăng hái, say mê, nhiệt tình
entire	toàn thể, toàn bộ
entirely	toàn vẹn, trọn vẹn, toàn bộ
entitle	cho tiêu đề, cho tên ; cho quyền làm gì
entrance	sự đi vào, sự nhậm chức
entry	sự ghi vào sổ sách, sự đi vào, sự tiếp nhận
envelope	phong bì
environment	môi trường, hoàn cảnh xung quanh
environmental	thuộc về môi trường
equal	ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
equally	bằng nhau, ngang bằng
equipment	trang, thiết bị
equivalent	tương đương; từ, vật tương đương
error	lỗi, sự sai sót, sai lầm
escape	trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially	đặc biệt là, nhất là
essay	bài tiểu luận
essential	bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially	về bản chất, về cơ bản
establish	lập, thành lập
estate	tài sản, di sản, bất động sản
estimate	sự ước lượng, đánh giá; ước lượng, đánh giá
etc	vân vân
euro	đơn vị tiền tệ của liên minh châu âu
even	ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng
evening	buổi chiều, tối
event	sự việc, sự kiện
eventually	cuối cùng
ever	từng, từ trước tới giờ
every	mỗi, mọi
everyone	mọi người
everything	mọi vật, mọi thứ
everywhere	mọi nơi
evidence	điều hiển nhiên, điều rõ ràng
evil	xấu, ác; điều xấu, điều ác, điều tai hại
ex- prefix	tiền tố chỉ bên ngoài
exact	chính xác, đúng
exactly	chính xác, đúng đắn
exaggerate	cường điệu, phóng đại
exaggerated	cường điệu, phòng đại
exam	viết tắt của examination
examination	sự thi cử, kỳ thi
examine	thẩm tra, khám xét, hỏi han
example	thí dụ, ví dụ
excellent	xuất sắc, xuất chúng
except	trừ ra, không kể; trừ phi
exception	sự trừ ra, sự loại ra
exchange	trao đổi; sự trao đổi
excite	kích thích, kích động
excited	bị kích thích, bị kích động
excitement	sự kích thích, sự kích động
exciting	hứng thú, thú vị
exclude	ngăn chạn, loại trừ
excluding	ngoài ra, trừ ra
excuse	lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi
executive	sự thi hành, chấp hành;  sự thi hành, chấp hành
exempli gratia	trứng
exercise	bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện
exhibit	trưng bày, triển lãm; vật trưng bày, vật triển lãm
exhibition	cuộc triển lãm, trưng bày
exist	tồn tại, sống
existence	sự tồn tại, sự sống
exit	lỗi ra, sự đi ra, thoát ra
expand	mở rộng, phát triển, nở, giãn ra
expect	chờ đợi, mong ngóng; liệu trước
expectation	sự mong chờ, sự chờ đợi
expected	được chờ đợi, được hy vọng
expense	chi phí
expensive	đắt
experience	kinh nghiệm; trải qua, nếm mùi
experienced	có kinh nghiệm, từng trải, giàu kinh nghiệm
experiment	cuộc thí nghiệm; thí nghiệm
expert	chuyên gia; chuyên môn, thành thạo
explain	giải nghĩa, giải thích
explanation	sự giải nghĩa, giải thích
explode	đập tan , làm nổ, nổ
explore	thăm dò, thám hiểm
explosion	sự nổ, sự phát triển ồ ạt
export	xuất khẩu; hàng xuất khẩu, sự xuất khẩu
expose	trưng bày, phơi bày
express	diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression	sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend	giơ, duỗi ra , dành cho, gửi lời
extension	sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extensive	rộng rãi, bao quát
extent	quy mô, phạm vi
extra	thêm, phụ, ngoại; thứ thêm, phụ
extraordinary	đặc biệt, lạ thường, khác thường
extreme	vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
extremely	vô cùng, cực độ
eye	mắt
face	mặt, thể diện; đương đầu, đối phó, đối mặt
facility	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact	việc, sự việc, sự kiện
factor	nhân tố
factory	nhà máy, xí nghiệp, xưởng
fail	sai, thất bại
failure	sự thất bại, người thất bại
faint	nhút nhát, yếu ớt
faintly	nhút nhát, yếu ớt
fair	hợp lý, công bằng; thuận lợi
fairly	hợp lý, công bằng
faith	sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful	trung thành, chung thủy, trung thực
faithfully	trung thành, chung thủy, trung thực
fall	rơi, ngã, sự rơi, ngã
fall asleep	ngủ thiếp đi
fall over	ngã lộn nhào, bị đổ
false	sai, nhầm, giả dối
fame	tên tuổi, danh tiếng
familiar	thân thiết, quen thộc
family	gia đình, thuộc gia đình
famous	người hâm mộ
